stim_id,gender,age,task_rt,face_width,face_length
face_207,m,44,1016.82,66.55,112.09
face_208,m,24,1268.51,65.85,112.58
face_209,f,48,1646.57,62.769999999999996,114.42
face_210,m,41,923.57,61.85,116.94
face_211,m,60,549.28,67.4,107.67
face_212,m,34,477.78,63.61,113.44
face_213,m,57,394.29,61.19,111.67
face_214,f,21,788.37,60.58,117.83
face_215,m,25,587.56,65.71,120.71
face_216,m,57,688.98,63.48,116.38
face_217,m,29,338.89,60.2,116.53
face_218,f,51,616.73,63.239999999999995,115.5
face_219,f,48,495.87,58.34,118.75
face_220,m,35,591.42,64.92,111.87
face_221,f,47,585.87,60.35,115.58
face_222,f,31,527.21,66.54,115.58
face_223,f,50,555.26,61.64,116.21
face_224,f,27,449.15,59.08,119.16
face_225,f,41,375.8,62.989999999999995,113.4
face_226,m,22,1163.24,66.21,110.99
face_227,f,52,572.46,59.09,119.28
face_228,m,55,332.68,65.07,116.64
face_229,m,48,538.04,61.76,114.04
face_230,f,60,736.03,57.88,113.36
face_231,m,45,655.28,62.37,116.1
face_232,m,38,758.66,65.85,113.41
face_233,m,18,464.02,69.16,112.8
face_234,m,52,557.11,67.36,115.89
face_235,m,47,300.35,61.98,113.98
face_236,f,49,715.14,60.15,113.38
face_237,f,38,389.08,60.07,114.67
face_238,f,26,605,64.21,114.17
face_239,f,58,301.7,63.41,114.33
face_240,f,42,306.12,67.22,112
face_241,f,38,432.58,63.17,108.69
face_242,f,29,748.32,62.269999999999996,113.6
face_243,m,44,481.35,66.45,108.67
face_244,f,26,460.98,62.540000000000006,110.15
face_245,m,46,360.1,63.06,114.65
face_246,f,25,670.48,63.66,113.41
face_247,m,37,601.04,64.74,113.52
face_248,f,57,559.87,62.81999999999999,112.98
face_249,m,21,440.79,65.81,113.37
face_250,f,43,699.65,62.790000000000006,108.85
face_251,m,30,359.2,65.38,115.26
face_252,f,30,323.66,61.83,114.76
face_253,m,28,324.18,60.11,116.32
face_254,m,22,381.57,60.85,119.36
face_255,m,53,1072.22,66.06,110.93
face_256,m,48,484.4,64.55,111.98
face_257,f,22,561.08,61.43,111.41
face_258,m,35,581.03,65.2,110.71
face_259,m,44,947.26,66.41,113.88
face_260,f,43,484.63,65.71,112.23
face_261,f,46,450.83,61.760000000000005,112.71
face_262,m,28,591.93,63.98,111.69
face_263,m,37,226.24,66.59,114.98
face_264,m,37,624.7,62.44,116.3
face_265,m,32,651.46,61.95,115.77
face_266,f,49,582.86,58.33,117.27
face_267,m,32,255.49,61.91,114.85
face_268,m,24,496.57,66.55,111.92
face_269,f,18,1649.14,63.06,112.77
face_270,f,39,643.36,65.96,108.51
face_271,f,41,864.13,63.34,110.16
face_272,f,41,310.3,60.92,120.17
face_273,m,49,533.64,65.19,116.62
face_274,f,27,494.02,59.92,115.77
face_275,m,32,338.03,61.67,118.48
face_276,m,30,518.17,67.92,112.79
face_277,f,55,392.15,64.16,109.62
face_278,f,44,443.62,57.62,118.59
face_279,f,30,306.25,59.89,115.61
face_280,f,22,376.35,62.42,115.53
face_281,f,53,390.38,61.69,112.85
face_282,f,47,1083.38,58.39,120.79
face_283,m,32,414.4,63.03,113.11
face_284,f,45,411.95,58.42,114.93
face_285,f,57,704.05,60.41,113.59
face_286,f,29,720.68,62.099999999999994,113.15
face_287,f,36,392.66,59.18,119.51
face_288,f,21,636.57,60.23,117.49
face_289,f,35,279.19,60.28,116.62
face_290,f,46,615.74,57.45,116.33
face_291,m,59,463.46,64.66,115.89
face_292,m,23,365.73,59.8,117.96
face_293,f,21,587.11,60.64,113.29
face_294,f,24,446.77,63.629999999999995,114.45
face_295,m,55,649.68,67,108.41
face_296,f,29,370.6,64.75,111.72
face_297,f,44,650.31,63.47,115.02
face_298,m,49,792.11,61.06,115.69
face_299,f,35,541.21,61.06,113.4
face_300,f,43,462.09,56.13,121.88
face_301,m,46,705.8,63.47,116.91
face_302,m,30,549.22,61.76,112.31
face_303,m,31,395.19,66.23,111.47
face_304,m,45,529.86,65.36,109.75
face_305,m,59,594.58,66.55,113.82
face_306,m,37,674.59,62.78,113.1
face_307,f,57,535.65,58.77,115.43
face_308,f,57,787.67,56.12,117.04
face_309,f,27,515.2,64.28,109.68
face_310,f,20,411.57,63.09,114.08
face_311,m,27,590.42,61.71,118.65
face_312,m,60,419.17,63.56,114.53
face_313,m,20,495.98,68.73,112.83
face_314,m,47,434.73,60.9,118.47
face_315,m,35,470.04,62.64,112.3
face_316,m,22,1266.74,63.34,117.18
face_317,m,23,679.6,62.47,113.52
face_318,m,23,873.12,63.71,112.89
face_319,m,28,955.05,62.96,118.31
face_320,f,38,584.34,66.36,106.07
face_321,m,36,430.35,64.05,109.62
face_322,f,39,398.78,67.03,110.37
face_323,f,23,405.97,61.37,110.96
face_324,m,19,278.47,62.18,116.43
face_325,m,58,458.35,58.84,114.71
face_326,f,19,481.45,64.66,110.46
face_327,f,34,280.19,56.76,119.24
face_328,f,21,473.94,62.150000000000006,115.99
face_329,f,55,616.88,60.13,113.5
face_330,m,44,659.79,67.46,111.6
face_331,m,41,631.17,65.8,113.96
face_332,f,18,478.91,60.15,119.17
face_333,f,23,777.61,65.7,112.51
face_334,f,36,378.64,61.620000000000005,115.84
face_335,m,34,342.06,63.09,116.29
face_336,f,58,906.91,57.56,116.57
face_337,f,24,375.91,60.3,114.67
face_338,m,55,512.06,65.23,111.67
face_339,f,38,430.32,62.47,110.03
face_340,m,37,659.01,66.2,112.43
face_341,f,22,619.14,62.66,110
face_342,f,25,839.17,59.69,116.42
face_343,f,55,1412.97,60.59,115.1
face_344,f,51,689,61.8,118.84
face_345,f,36,538.4,63.790000000000006,113.09
face_346,m,35,351.97,64.41,113.39
face_347,m,20,571.79,64.33,116.84
face_348,f,35,663.28,59.05,113.18
face_349,f,60,420.85,60.87,112.53
face_350,m,35,393.92,63.45,111.38
face_351,m,57,567.5,65.97,117.14
face_352,f,29,434.89,59.52,120.1
face_353,m,40,644.96,60.45,112.88
face_354,f,41,384.22,68.1,105.83
face_355,m,51,838.06,65.12,109.87
face_356,f,18,492.92,63.980000000000004,115.11
face_357,m,54,462.11,61.98,116.39
face_358,f,52,291.74,60.62,118.14
face_359,m,44,578.92,63.18,114.12
face_360,m,18,1204.97,63.55,117.86
face_361,m,53,531.32,63.04,115.19
face_362,f,18,506.16,60.82,111.9
face_363,m,21,305.02,67.99,112.94
face_364,f,42,568.33,61.790000000000006,107.4
face_365,f,26,828.07,60.19,117.6
face_366,m,41,821.59,64.22,119.01
face_367,f,22,570.98,62.61,108.94
face_368,f,45,649.76,60.87,115.12
face_369,m,18,369.01,65.62,110.32
face_370,m,49,1038.92,68.62,106.72
face_371,m,60,548.33,64.22,117.66
face_372,m,42,1244.38,61.33,115.33
face_373,f,30,1271.1,62.59,108.96
face_374,f,40,452.86,66.85,107.63
face_375,m,27,684.86,64.02,111.12
face_376,f,36,545.04,65.55,110.76
face_377,f,35,635.49,63.099999999999994,113.17
face_378,m,30,773.38,70.51,109.63
face_379,m,52,349.29,57.82,121.7
face_380,m,32,759.96,64.91,114.23
face_381,f,23,786.68,63.28,111.21
face_382,f,58,478.8,61.5,112.16
face_383,m,46,947.86,62.44,115.04
face_384,m,47,485.7,62.26,116.46
face_385,m,32,1059.36,62.27,115.86
face_386,f,57,600.35,57.44,116.2
face_387,f,48,291.65,59.96,114.28
face_388,m,46,838.13,59.36,117.73
face_389,m,56,637.62,62.86,114.34
face_390,f,37,395.85,61.56,118.28
face_391,m,55,627.86,65.69,112.37
face_392,m,45,422.42,61.57,114.25
face_393,f,24,533.25,58.26,119.96
face_394,f,21,400.78,57.34,117.24
face_395,m,44,650.49,64.03,114.4
face_396,m,23,504.77,70.37,108.55
face_397,m,60,526.36,64.52,111.43
face_398,m,32,503.67,64.09,114.37
face_399,m,31,910.59,61.79,114.89
face_400,f,60,535.33,60.07,115.25
face_401,m,60,592.56,64.55,111.53
face_402,m,52,716.67,62.7,117.12
face_403,m,51,805.27,61.02,115.65
face_404,f,48,446.65,61.900000000000006,114.44
face_405,m,60,408.47,66.99,107.29
face_406,f,35,801.91,58.25,116.11
face_407,f,37,551.89,58.15,119.37
face_408,m,59,1022.91,64.28,114.8
face_409,m,57,413.66,61.66,112.1
face_410,m,42,404.67,58.79,118.41
face_411,m,25,504.95,66.19,111.55
face_412,m,34,457.18,67.36,113.95
face_413,f,58,984.09,62.22,115.47
face_414,m,37,336.47,65.62,111.95
face_415,f,47,358.05,62.239999999999995,111.88
face_416,f,25,597.5,62.81999999999999,109
face_417,f,27,682.31,64.59,110.15
face_418,m,52,368.91,62.22,112.06
face_419,m,54,560.48,66.93,113.67
face_420,m,45,944.66,58.91,118.48
face_421,f,39,729.47,56.96,114.63
face_422,f,23,300.75,61.78,110.05
face_423,f,52,1290.06,60.79,118.49
face_424,m,54,399.65,62.45,115.9
face_425,m,39,585.51,58.92,119.26
face_426,m,33,654.96,64.78,111.97
face_427,m,37,645.69,63.52,114.2
face_428,f,60,600.87,58.52,117.58
face_429,m,50,1108.16,68.75,108.96
face_430,m,27,402.09,63.87,113.76
face_431,m,20,759.22,62.81,111.87
face_432,m,32,752.28,66.26,117.27
face_433,m,21,587.2,64.48,111.44
face_434,f,34,412.63,57.89,114.44
face_435,m,34,670.56,62.05,113.63
face_436,f,23,1048.44,63.66,112.46
face_437,f,49,523.29,63.14,118.31
face_438,f,41,779.25,68.5,111.95
face_439,f,39,844.89,64.03,111.13
face_440,f,35,275.94,59.91,116.77
face_441,f,32,397.67,59.67,114.78
face_442,f,53,704.62,61.36,113.17
face_443,f,33,460.47,60.71,116.34
face_444,m,29,302.56,64.16,113.26
face_445,f,34,713.92,62.53,111.03
face_446,m,48,402.62,61.95,113.78
face_447,f,27,846.96,61.36,115.21
face_448,m,39,399.46,63.49,111.63
face_449,m,59,479.83,63.86,117.96
face_450,f,55,701,59.84,111.95
face_451,f,46,649.71,60.27,116.78
face_452,m,42,461.04,65.99,112.29
face_453,m,26,678.03,60.85,114.55
face_454,f,52,488.99,58.47,117.48
face_455,f,45,778.53,62.22,115
face_456,f,46,532.36,61.599999999999994,115.46
face_457,m,24,598.22,68.37,110.43
face_458,m,37,504.23,65.51,112.5
face_459,m,24,421.18,64.68,113.75
face_460,m,49,539.89,58.79,117.8
face_461,f,31,819.52,63.019999999999996,114.37
face_462,f,27,480.2,57.79,119.96
face_463,m,24,1285.9,65.75,108.68
face_464,f,42,462.13,60.55,117.53
face_465,m,25,715.66,62.97,119.22
face_466,f,35,492.58,61.08,110.57
face_467,m,27,922.73,61.63,114.98
face_468,f,36,491.32,63.68000000000001,109.93
face_469,f,58,465.66,58.46,117.41
face_470,m,41,413.26,64.55,107.5
face_471,f,48,424.05,64.12,113.45
face_472,m,58,1374.32,68.82,115.61
face_473,f,41,633.29,63.61,112.4
face_474,f,18,348.94,62.239999999999995,109.06
face_475,m,20,347.71,64.63,110.88
face_476,m,39,366.8,65.24,116.03
face_477,m,34,288.72,62.07,116.29
face_478,m,53,290.97,65.58,112.19
face_479,m,50,721.46,60.38,112.51
face_480,m,36,715.89,65.69,112.22
face_481,f,24,764.71,55.16,121.19
face_482,m,52,561.15,67.47,117.05
face_483,m,50,485.33,65.44,109.01
face_484,m,50,729.63,60.48,115.87
face_485,m,23,723.38,63.76,116.37
face_486,f,45,478.97,61.64,111.52
face_487,f,28,789.74,62.599999999999994,111.94
face_488,m,35,563.74,66.9,107.63
face_489,m,44,567.27,61.68,110.06
face_490,f,23,939.78,60.69,115.4
face_491,m,57,670.8,61.21,117.14
face_492,f,56,1320.98,58.29,116.53
face_493,m,35,562.6,67.74,113.23
face_494,f,55,341.45,60.74,111.07
face_495,f,22,265.36,62.67,109.04
face_496,m,60,474.7,63.01,114.06
face_497,m,43,363.17,68.68,108.68
face_498,m,26,579.62,64.98,113.43
face_499,f,26,388.36,62.56999999999999,109.88
face_500,f,58,715.98,64.8,108.13
face_501,m,32,536.29,62.34,119.56
face_502,m,56,824.17,66.08,111.39
face_503,m,28,723.06,68.55,111.36
face_504,m,54,457.12,65.83,109.16
face_505,m,45,884.03,65.28,113.6
face_506,m,21,664.95,66.92,108.83
face_507,m,48,792.54,63.03,115.39
face_508,m,49,392.6,54.74,122.58
face_509,f,25,460.82,60.4,111.71
face_510,m,47,654.55,59.68,117.77
face_511,m,40,434.04,65.03,108.25
face_512,m,49,597.5,64.49,113.93
face_513,m,51,754.37,64.34,114.56
face_514,m,50,379.05,62.55,111.06
face_515,m,50,355.61,64.97,112.88
face_516,f,43,378.96,60.06,117.26
face_517,m,33,402.29,66.5,113.45
face_518,f,59,270.18,62.599999999999994,113.39
face_519,f,36,343.11,62.22,113.35
face_520,f,60,256.56,62.61,109.84
face_521,m,54,564.93,63.55,114.27
face_522,f,38,1200.49,64.83,110.78
face_523,m,25,463.02,62.2,112.73
face_524,m,51,895.29,63.39,115.01
face_525,f,44,1046.47,59.35,116.32
face_526,f,46,696.68,56.4,117.32
face_527,m,48,542.4,65.13,114.05
face_528,f,58,714.91,61.59,108.49
face_529,m,20,740.41,64.12,113.11
face_530,f,40,622.1,65.16,111
face_531,f,57,574.86,61.06,113.53
face_532,f,44,564.86,63.66,106.26
face_533,f,32,674.59,62.19,109.19
face_534,m,51,383.62,65.34,110.57
face_535,m,29,476.54,67.97,113.41
face_536,m,36,404.97,59.95,121.96
face_537,m,42,299.25,61.86,115.66
face_538,f,44,588.63,63.25,109.94
face_539,m,30,381.99,65.58,112.22
face_540,m,27,1041.11,64.98,112.01
face_541,f,37,487.66,65.33,110.51
face_542,f,19,423.45,60.87,111.45
face_543,f,30,682.09,53.57,123.12
face_544,m,46,412.88,61.6,110.42
face_545,m,34,490.07,64.73,114.21
face_546,f,38,297.63,61.14,113.39
face_547,f,58,465.04,61.93000000000001,117.29
face_548,m,26,819.16,69.61,110.38
face_549,m,52,1068.31,64.36,116.44
face_550,f,23,468.59,61.27,111.41
face_551,f,43,724.75,62.739999999999995,113.86
face_552,f,42,615.57,62.97,111.68
face_553,f,18,680.24,60.03,116.6
face_554,m,21,937.38,69.55,108.76
face_555,f,29,689.95,59.17,117.05
face_556,f,22,406.1,60.65,113.63
face_557,f,48,451.22,56.11,114.36
face_558,m,45,614.25,61.03,117.86
face_559,f,53,646.61,60.09,112.76
face_560,m,21,330.64,63.55,118.93
face_561,m,30,321.22,61.66,117.17
face_562,f,44,520.45,62.56999999999999,117.3
face_563,m,29,808.61,66.78,110.53
face_564,f,41,607.51,57.08,116.1
face_565,m,39,343.81,60.89,117.14
face_566,f,39,406.6,58.85,118.29
face_567,m,49,274.21,65.82,113.37
face_568,m,49,334.89,59.68,114.14
face_569,f,20,579.51,63.95,112.38
face_570,f,27,667.93,60.39,114.99
face_571,m,24,821.83,67.3,114.57
face_572,m,55,261.54,65.17,113.09
face_573,f,54,575.84,62.86,111.62
face_574,f,33,416.97,61.790000000000006,118.23
face_575,f,24,615.8,64.55,106.44
face_576,m,32,593.22,63.24,112.72
face_577,f,52,482.14,58.89,120.53
face_578,m,30,404.99,70.45,110.01
face_579,f,21,448.87,61.72,114.73
face_580,m,41,258.03,63.46,113.12
face_581,f,59,553.11,63.95,108.79
face_582,f,19,264.73,63.879999999999995,111.2
face_583,m,36,1458.23,65.92,112.04
face_584,f,21,547.46,63.459999999999994,107.8
face_585,m,31,498.97,63.46,112.29
face_586,m,25,261.37,64.7,111.76
face_587,f,37,337.16,57.65,121.86
face_588,m,42,305.39,61.38,114.16
face_589,f,55,263.55,61.8,111.83
face_590,f,39,939.44,70.11,109.71
face_591,m,31,509.43,65.87,112.93
face_592,m,50,598.89,60.39,109.76
face_593,f,33,777.26,60.31,116.85
face_594,f,48,706.74,62.650000000000006,116.12
face_595,m,25,342.58,62.2,114.35
face_596,f,34,689.26,57.73,118.05
face_597,m,45,686.09,64.22,113.96
face_598,m,34,809.12,66.07,112.07
face_599,f,20,421.78,62.480000000000004,110.17
face_600,f,46,685.13,62.620000000000005,110.1
face_601,m,60,261.76,66.88,107.72
face_602,m,35,285.08,61.52,113.47
face_603,f,45,624.42,57.56,115.44
face_604,m,43,303.58,64.14,113
face_605,m,36,395.14,64.09,116.01
face_606,f,21,500.6,55.28,118.12
face_607,m,59,745.47,65.52,114.65
face_608,f,52,378.08,65.36,111.82
face_609,f,39,950.78,61.09,114.19
face_610,f,30,706.88,62.25,111.54
face_611,m,28,380.71,62.15,116.51
face_612,m,40,744.79,66.97,113.16
face_613,m,37,479.41,62.07,116.38
face_614,m,44,914.25,60.42,116.55
face_615,f,38,372.23,58.44,119.45
face_616,f,29,751.53,65.07,108.64
face_617,f,55,850.26,61.94,111.21
face_618,f,24,258.74,57.02,120.56
face_619,m,20,557.33,64.07,113.79
face_620,f,18,916.76,58.76,116.91
face_621,m,60,296.82,66.08,109
face_622,f,20,536.73,62.31999999999999,112.91
face_623,m,28,822.95,62.91,114.2
face_624,m,27,614.83,67.03,112
face_625,m,30,654.37,62.92,115.76
face_626,m,52,454.87,61.27,113.21
face_627,m,41,509.71,59.85,117.38
face_628,f,51,884.04,60.67,112.24
face_629,f,55,426.9,58.68,113.29
face_630,m,30,528.24,65.56,108.64
face_631,f,23,604.37,64.15,112.22
face_632,m,34,737.02,57.49,118.5
face_633,f,54,571.82,61.89,111.82
face_634,m,18,884.93,58.78,115.3
face_635,f,37,676.48,60.35,115.74
face_636,f,32,594.64,59.31,120.51
face_637,f,56,475.69,60.92,112.97
face_638,f,38,530.38,63.06,106.77
face_639,m,41,978.92,65.65,114.03
face_640,f,23,529.65,63.22,115.96
face_641,m,24,858.16,67.87,112.86
face_642,f,31,414.65,61.15,113.84
face_643,m,34,846.3,63.51,116.88
face_644,f,27,617.01,60.2,115.08
face_645,f,53,903.64,64.16,109.13
face_646,f,19,258.39,58.62,115.21
face_647,f,28,468.6,60.61,109.95
face_648,m,49,530.97,63.72,112.75
face_649,f,32,332.49,59.8,119.19
face_650,f,53,468.97,63.41,110.52
face_651,m,51,673.13,62.5,114.32
face_652,m,46,609.18,63.92,117.42
face_653,f,40,305.65,66.91,108.36
face_654,m,29,811.59,66.77,112.3
face_655,f,43,370.74,61.67,111.01
face_656,f,25,355.76,59.26,116.6
face_657,f,34,633.4,60.54,115.35
face_658,f,54,238.35,60.23,113.46
face_659,m,23,340.07,62.19,108.58
face_660,f,25,674.09,58.07,116.72
face_661,m,35,572.07,65.37,111.54
face_662,f,35,565.61,60.62,116.03
face_663,f,41,444.63,59.07,110.77
face_664,f,22,628.26,65.8,111.07
face_665,m,55,635.16,63,112.2
face_666,m,23,577.36,61.41,113.57
face_667,f,38,598.26,62.129999999999995,113.61
face_668,m,26,267.71,63.45,116.96
face_669,m,29,640.42,67.52,109.93
face_670,f,52,636.92,60.12,116.89
face_671,f,45,510.62,62.81,109.45
face_672,m,46,722.87,61.84,112.6
face_673,m,23,446.37,67.14,109.32
face_674,f,34,568.78,61.27,108.66
face_675,f,27,502.02,57.96,119.81
face_676,f,18,734.69,59.19,113.51
face_677,f,50,689.1,61.900000000000006,109.29
face_678,f,53,934.27,60.98,113.67
face_679,m,29,591.67,62.94,113.76
face_680,m,38,376.3,65.42,114.31
face_681,f,54,419.37,60.01,117.01
face_682,m,40,241.4,66.8,110.83
face_683,f,58,329.39,59.62,116.85
face_684,f,58,1031.01,60.48,115.17
face_685,m,18,658.96,61.91,116.48
face_686,m,30,329.66,67.94,111.47
face_687,f,27,552.37,60.78,112.13
